BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
NAGRIJULI,Fruits,2013,5,28,Banana,NALBARI,"Plant Protection",KHARIF,HORTICULTURE,ASSAM,"SCALE INSECTS IN BANANA","ADVISED TO SPRAY TRIFOS 40ECNUROCOMBI   15 ML  LITRE OF WATER",26.3534,91.3984
ANDIYUR,Fruits,2015,10,17,Banana,ERODE,"Plant Protection",RABI,HORTICULTURE,TAMILNADU,"asking about banana scale insects","recommended for spray neem seed kernel extract 3 ml  1 litre of water",11.4905,77.3505
