BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
"0   ",0,2011,1,21,Banana,NANDED,76,nan,HORTICULTURE,MAHARASHTRA,"thrips on banana","Dipping in oxydemeton methyl 01 4mll solution to control the spread of the insect Spray the bunches after emergence with phosphamidon  01  1mll for effective control of the pest",19.094,77.4832
"0   ",0,2011,1,4,Banana,VILLUPPURAM,76,KHARIF,HORTICULTURE,TAMILNADU,"Thrips control measure in banana","spray monocrotophos 2ml  lit",10.9094,78.3665
BIDUPUR,Fruits,2012,5,11,Banana,VAISHALI,0,nan,HORTICULTURE,BIHAR,"Banana rust thrips","Spray the bunches after emergence with 02 Phosphomidan for effective control of pest",25.7492,85.3972
"BABU BARHI",Fruits,2012,5,14,Banana,MADHUBANI,0,nan,HORTICULTURE,BIHAR,"rust thrips in banana","Spray the bunches after emergence with 02 Phosphomidan for effective control of pest",26.3503,86.2296
"0   ",Fruits,2012,6,8,Banana,DAVANAGERE,76,JAYAD,HORTICULTURE,KARNATAKA,"Thrips and Lace wing bugs","spray methyl demithion 2mllitr",14.2559,75.8303
"0   ",Fruits,2012,1,13,Banana,ERNAKULAM,76,nan,HORTICULTURE,KERALA,"leaf thrips control in banana","spray rogor 16 mlL",9.98408,76.2741
DINDORI,Fruits,2012,6,2,Banana,NASIK,76,JAYAD,HORTICULTURE,MAHARASHTRA,"ATTACK OF THRIPS ARE SEEN ","SPRAY IMIDACHLOPRID 10 ML  10 LITN OF AWTER",19.9613,73.8317
"0   ",Fruits,2012,12,19,Banana,BULDANA,76,RABI,HORTICULTURE,MAHARASHTRA,thrips,imida,20.5628,76.4087
SALEM,Fruits,2012,3,15,Banana,SALEM,76,JAYAD,HORTICULTURE,TAMILNADU,"how to control banana Thrips","Spray Methyl demeton 2 mllit",11.647,78.2107
"0   ",Fruits,2012,2,17,Banana,BIRBHUM,76,KHARIF,HORTICULTURE,"WEST BENGAL","CONTROL OF THRIPS AND LACE WING BUGS IN BANANA","SPRAY METHYL DEMETON 20EC  2MLLIT OF WATER",24.0622,87.6983
KAMAVARAPUKOTA,Fruits,2013,5,14,Banana,"WEST GODAVARI",nan,nan,HORTICULTURE,"ANDHRA PRADESH","sigatok leaf spot and banana thrips","mancozeb  2glit and monocrotophos  1mllit",16.6443,81.5885
PUTLUR,Fruits,2013,10,26,Banana,ANANTPUR,nan,nan,HORTICULTURE,"ANDHRA PRADESH","mealy bug and thrips","dimethoate 2 mll water",13.5747,78.5029
KANDAGHAT,Fruits,2013,4,4,Banana,SOLAN,"Plant Protection",KHARIF,HORTICULTURE,"HIMACHAL PRADESH","How to control thrips in banana ","Spray with confidor  1 ml in 1 litre of water ",30.9078,77.1024
KHANDWA,Fruits,2013,6,21,Banana,"EAST NIMAR","Plant Protection",JAYAD,HORTICULTURE,"MADHYA PRADESH","Aphid jassid  thrips attack of banana","spray  of carbosulfan 25 ec 2-3ml per liter of water or spray Imidacloprid 10ml per 15 liter of water",21.75,76.5833
INDAPUR,Fruits,2013,5,28,Banana,PUNE,"Plant Protection",KHARIF,HORTICULTURE,MAHARASHTRA,"Thrips Attack ","Spray Actra 5 gm15 Lit of Water",18.5214,73.8545
VALVA-ISLAMPUR,Fruits,2013,5,24,Banana,SANGLI,"Plant Protection",KHARIF,HORTICULTURE,MAHARASHTRA,"Thrips Attack ","Spray Actra 5 gm15 Lit of Water",17.1727,74.5868
"0   ",Fruits,2013,3,3,Banana,SOLAPUR,76,KHARIF,HORTICULTURE,MAHARASHTRA,"thrips phulkide","decis 100 8ml15lit",17.8499,75.2763
MALKAPUR,Fruits,2013,10,8,Banana,BULDANA,nan,JAYAD,HORTICULTURE,MAHARASHTRA,"thrips attack ","2309232523812335237523522366 523272381235223732350 2352236723372379235023672354 23272379235423812337 3023272381235223732350 152354236723352352 23462366233923812351236623502343238123512375 2328237523142344 234723572366235223392368 23252352236623572368",20.5628,76.4087
MALKAPUR,Fruits,2013,10,8,Banana,BULDANA,nan,JAYAD,HORTICULTURE,MAHARASHTRA,"thrips attack ","2309232523812335237523522366 523272381235223732350 2352236723372379235023672354 23272379235423812337 3023272381235223732350 152354236723352352 23462366233923812351236623502343238123512375 2328237523142344 234723572366235223392368 23252352236623572368",20.5628,76.4087
MANDAL,Fruits,2013,4,14,Banana,BHILWARA,"Plant Protection",KHARIF,HORTICULTURE,RAJASTHAN,"THRIPS IN  BANANA","IMIDACLOROPRID 178 SL 1 ML 2 LITER WATE SPREY ",25.4891,74.3301
MULANUR,Fruits,2013,12,4,Banana,ERODE,nan,KHARIF,HORTICULTURE,TAMILNADU,"Thrips in banana","spray monocrotophos 2mllit water",11.4905,77.3505
PULLAMBADI,Fruits,2013,10,21,Banana,TIRUCHIRAPPALLI,"Plant Protection",KHARIF,HORTICULTURE,TAMILNADU,"thrips in banana","spray methyl dematon 2mllit of water",10.8071,78.6881
KARIMPUR-1,Fruits,2013,7,13,Banana,NADIA,"Plant Protection",JAYAD,HORTICULTURE,"WEST BENGAL","CONTROL OF THRIPS IN BANANA","SPRAY THIAMETHOXAM 25 WG  05 GMLIT OF WATER",23.4847,88.5567
KARIMPUR-II,Fruits,2013,12,29,Banana,NADIA,"Plant Protection",KHARIF,HORTICULTURE,"WEST BENGAL","CONTROL OF THRIPS IN BANANA","SPRAY THIAMETHOXAM 25 WG  05 GMLIT OF WATER",23.4847,88.5567
