BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
NAMBULAPULIKUNTA,Fruits,2018,7,4,Banana,ANANTPUR,"Agriculture Mechanization",nan,HORTICULTURE,"ANDHRA PRADESH","banana bacterial soft rot management","RECOMMENDED  TO DRENCH  BLEACHING POWDER   25 GRAMS  1 LITRE OF WATER",13.5747,78.5029
OBULAVARIPALLE,Fruits,2018,6,26,Banana,"Y S R ","Agriculture Mechanization",nan,HORTICULTURE,"ANDHRA PRADESH","BACTERIAL SOFT ROT MANAGEMENT IN BANANA","RECOMMENDED TO DRENCH WITH  BLEECHING POWDER   25  GRAMS 1 LITRE OF WATER",15.9241,80.1864
"KAPILI PTI",Fruits,2019,1,14,Banana,NAGAON,"Plant Protection",nan,HORTICULTURE,ASSAM,"QUERY REGARDING BACTERIAL SOFT ROT","copper oxychloride 40g10l streptocycline 3g10lit Drench with Bleaching powder 20g litretree Immediately irrigate after applicationRepeat twice at 10 days interval",26.3314,92.7525
BONGAON,Fruits,2019,9,6,Banana,"NORTH 24 PARGANAS","Plant Protection",nan,HORTICULTURE,"WEST BENGAL","WANT TO KNOW ABOUT  USE  OF BLEACHING POWDER FOR BACTERIAL SOFT ROT IN BANANA",nan,22.6927,88.6626
DONDILOHARA,Fruits,2019,3,11,Banana,Balod,"Plant Protection",nan,HORTICULTURE,CHHATTISGARH," Farmers query about Bacterial soft rot in Banana  ",nan,20.7277,81.1447
BARANGA,Fruits,2020,10,21,Banana,CUTTACK,"Plant Protection",nan,HORTICULTURE,ODISHA,"Bacterial Soft rot in Banana","Recommended to drench the soil with Copper Oxychloride 50WP  600gm and Plantomycin  200gm per acre to control Bacterial Soft rot in Banana",20.4686,85.8792
PATNAGARH,Fruits,2021,10,25,Banana,BALANGIR,"Plant Protection",nan,HORTICULTURE,ODISHA,"Bacterial soft rot in banana","Recommended to soil drench and spray  with SAAF Carbendazim- 12  Mancozeb - 63   3 g Plantomycin  1g in 1 Litre water to control Bacterial soft rot in banana",20.6095,83.1673
DONDI,Fruits,2024,9,8,Banana,Balod,"Plant Protection",nan,HORTICULTURE,CHHATTISGARH,"Farmer wants information regarding control of Leaf Spot and Bacterial Soft Rot disease in Banana Tree","                     11   183     24-28     15  20                      ",20.7277,81.1447
DHANIAKHALI,Fruits,2025,3,9,Banana,HOOGHLY,"Plant Protection",,HORTICULTURE,"WEST BENGAL","ASKING ABOUT THE CONTROL OF BACTERIAL SOFT ROT IN BANANA ","         COPPER OXYCHLORIDE 50 WP    WP      STREPTOMYCIN SULPHATE AND TETRACYCLIN HYDROCHLORIDE 9:1 SP  90:10 SP             ",22.9099,88.0121
