BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
"0   ",Fruits,2013,1,26,Mango,RATNAGIRI,76,RABI,HORTICULTURE,MAHARASHTRA,thrips,imida,17.2826,73.457
"0   ",Fruits,2013,2,14,Mango,RATNAGIRI,76,nan,HORTICULTURE,MAHARASHTRA,thrips,"regent 2mllit",17.2826,73.457
RAJAPUR,Fruits,2013,11,19,Mango,RATNAGIRI,nan,KHARIF,HORTICULTURE,MAHARASHTRA,thrips,"regene 2mllit",17.2826,73.457
DEOGAD,Fruits,2013,5,17,Mango,SINDHUDURG,"Fertilizer Use and Availability",nan,HORTICULTURE,MAHARASHTRA,thrips,"spray actra 5gm15 littar watter",16.1357,73.6522
KUDAL,Fruits,2013,10,26,Mango,SINDHUDURG,nan,nan,HORTICULTURE,MAHARASHTRA,thrips,actra,16.1357,73.6522
KUDAL,Fruits,2013,12,14,Mango,SINDHUDURG,nan,KHARIF,HORTICULTURE,MAHARASHTRA,"mango atac thrips","confidoar10 mlbavestin30 gr152354236723352352 23462366233923812351236623502343238123512375 2328237523142344 234723572366235223392368 23252352236623572368",16.1357,73.6522
"0   ",Fruits,2013,1,29,Mango,NASIK,76,KHARIF,HORTICULTURE,MAHARASHTRA,"Attact of Thrips ","Sprey Metador 25 ml  Isabion 30 ml  15 lit of water",19.9613,73.8317
"0   ",Fruits,2013,1,30,Mango,NASIK,102,nan,HORTICULTURE,MAHARASHTRA,"thrips control on mango crop","use lambda 10mlpump",19.9613,73.8317
"0   ",Fruits,2013,2,21,Mango,NASIK,76,nan,HORTICULTURE,MAHARASHTRA,thrips,"regent 2mllit",19.9613,73.8317
DEOLA,Fruits,2013,3,1,Mango,NASIK,76,nan,HORTICULTURE,MAHARASHTRA,thrips,"regent 2mllit",19.9613,73.8317
"0   ",Fruits,2013,1,8,Mango,JALGAON,76,KHARIF,HORTICULTURE,MAHARASHTRA,thrips,actra,20.8429,75.5261
"0   ",Fruits,2013,1,8,Mango,AHMADNAGAR,76,KHARIF,HORTICULTURE,MAHARASHTRA,"ATTACT OF THRIPS","ACTRA  ISBION  METADOR",19.0744,74.722
"0   ",Fruits,2013,2,8,Mango,AHMADNAGAR,78,RABI,HORTICULTURE,MAHARASHTRA,thrips,imida,19.0744,74.722
KOPARGAON,Fruits,2013,3,14,Mango,AHMADNAGAR,76,nan,HORTICULTURE,MAHARASHTRA,"MANGO THRIPS CONTROL ","USE ACTRA 3 GRAMPUMP",19.0744,74.722
JAMKHED,Fruits,2013,12,22,Mango,AHMADNAGAR,nan,KHARIF,HORTICULTURE,MAHARASHTRA,"Thrips Attack ","23252381235423792352237923462366235123522368234723792360  402350236723542367  15 23542368 10 2354236723352352 2346236623392381235123662340 23282375235723702344 23102355235723392368 23252352236623572368",19.0744,74.722
"0   ",Fruits,2013,1,10,Mango,PUNE,76,JAYAD,HORTICULTURE,MAHARASHTRA,"ATTACK OF THRIPS",REEGENT,18.5214,73.8545
DAUND,Fruits,2013,2,8,Mango,PUNE,76,KHARIF,HORTICULTURE,MAHARASHTRA,"Attact of Thrips ","Sprey Actra 10 gm  Regent 20 ml  Folicure 15 ml  15 lit of water",18.5214,73.8545
"0   ",Fruits,2013,2,21,Mango,PUNE,76,nan,HORTICULTURE,MAHARASHTRA,thrips,metador,18.5214,73.8545
BHOR,Fruits,2013,4,23,Mango,PUNE,"Plant Protection",KHARIF,HORTICULTURE,MAHARASHTRA,"ATTACK OF THRIPS","SPRAY ROGER 2ml Lit OF WATER",18.5214,73.8545
"0   ",Fruits,2013,1,3,Mango,SANGLI,0,nan,HORTICULTURE,MAHARASHTRA,thrips,metador,17.1727,74.5868
